Date,Comp845,Comp793,Comp581,Comp135,Comp477,Comp298
2009-07-29,25.840225,27.886038,,37.051598,84.339996,36.059071
2009-07-30,27.103399,28.402859,,37.509392,86.089996,36.41396
2009-07-31,27.844831,28.535748,,37.434345,85.760002,36.598808
2009-08-03,29.931816,29.237156,,37.404301,87.440002,36.968502
2009-08-04,29.920841,29.687519,,37.411819,85.800003,36.584023
2009-08-05,29.78903,30.846672,,36.923992,84.290001,36.273499
2009-08-06,30.629314,30.08621,,36.758884,84.470001,36.044292
2009-08-07,30.481028,31.274889,,36.991539,85.32,37.042427
2009-08-10,30.398649,31.518534,,37.314259,84.440002,36.524864
2009-08-11,29.86042,30.447977,,37.554428,83.559998,36.169979
2009-08-12,29.756083,31.164148,,38.115086,85.959999,36.474239
2009-08-13,30.470037,31.673584,,39.148884,84.599998,36.273869
2009-08-14,29.723118,31.341349,,39.080975,83.580002,36.088345
2009-08-17,28.816933,30.071436,,38.914963,81.059998,35.227505
2009-08-18,29.827477,30.787605,,38.756489,82.120003,35.175556
2009-08-19,29.600626,30.573503,,38.990421,83,35.576298
2009-08-20,29.639359,31.319187,,39.020611,84.089996,35.554028
2009-08-21,30.231371,32.234695,,38.756489,85,36.036392
2009-08-24,30.015591,31.754787,,38.899872,84.5,35.709869
2009-08-25,30.253504,32.175632,,38.990421,84.190002,36.823032
2009-08-26,30.209236,31.968903,,39.088516,84,37.275703
2009-08-27,30.314356,32.079647,,38.665955,84.309998,38.077175
2009-08-28,30.419476,31.688353,,38.582935,82.760002,38.418533
2009-08-31,29.833012,32.087029,,38.386745,81.190002,37.832272
2009-09-01,28.958811,30.765446,,38.462196,79.160004,37.587391
